mpi_procs, nodes, problem_size, jobid
16,1,18,7919878.isrv5
16,1,19,7919879.isrv5
16,1,20,7919880.isrv5
16,1,21,7919881.isrv5
16,1,22,7919882.isrv5
16,1,23,7919883.isrv5
16,1,24,7919884.isrv5
16,1,25,7919885.isrv5
16,1,26,7919886.isrv5
16,1,27,7919887.isrv5
16,1,28,7919888.isrv5
16,1,29,7919889.isrv5
16,1,30,7919890.isrv5
32,2,18,7919891.isrv5
32,2,19,7919892.isrv5
32,2,20,7919893.isrv5
32,2,21,7919894.isrv5
32,2,22,7919895.isrv5
32,2,23,7919896.isrv5
32,2,24,7919897.isrv5
32,2,25,7919898.isrv5
32,2,26,7919899.isrv5
32,2,27,7919900.isrv5
32,2,28,7919901.isrv5
32,2,29,7919902.isrv5
32,2,30,7919903.isrv5
64,4,18,7919904.isrv5
64,4,19,7919905.isrv5
64,4,20,7919906.isrv5
64,4,21,7919907.isrv5
64,4,22,7919908.isrv5
64,4,23,7919909.isrv5
64,4,24,7919910.isrv5
64,4,25,7919911.isrv5
64,4,26,7919912.isrv5
64,4,27,7919913.isrv5
64,4,28,7919914.isrv5
64,4,29,7919915.isrv5
64,4,30,7919916.isrv5
128,8,18,7919917.isrv5
128,8,19,7919918.isrv5
128,8,20,7919919.isrv5
128,8,21,7919920.isrv5
128,8,22,7919921.isrv5
128,8,23,7919922.isrv5
128,8,24,7919923.isrv5
128,8,25,7919924.isrv5
128,8,26,7919925.isrv5
128,8,27,7919926.isrv5
128,8,28,7919927.isrv5
128,8,29,7919928.isrv5
128,8,30,7919929.isrv5
256,16,18,7919930.isrv5
256,16,19,7919931.isrv5
256,16,20,7919932.isrv5
256,16,21,7919933.isrv5
256,16,22,7919934.isrv5
256,16,23,7919935.isrv5
256,16,24,7919936.isrv5
256,16,25,7919937.isrv5
256,16,26,7919938.isrv5
256,16,27,7919939.isrv5
256,16,28,7919940.isrv5
256,16,29,7919941.isrv5
256,16,30,7919942.isrv5
